purchaser_id,created_at,updated_at,name,methods,website,logo,slug,tagline,description,geo_city,geo_country,twitter
cl4gop65701268vmob7xmjfyd,2022-06-16 07:11:59,2022-06-16 07:11:59,Microsoft,,https://www.microsoft.com/,https://logo.clearbit.com/microsoft.com,microsoft,,"Microsoft Corporation is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.",,Washington,
cl4gop65801318vmo4flzjdtd,2022-06-16 07:11:59,2022-06-16 07:11:59,Shopify,,https://www.shopify.com/,https://logo.clearbit.com/shopify.com,shopify,,"Shopify Inc. is a Canadian multinational e-commerce company headquartered in Ottawa, Ontario.",,Ontario,
