marketplace_id,created_at,updated_at,name,methods,website,logo,slug,tagline,description,year_founded,geo_city,geo_country,twitter
cl4gop65500938vmogkdzoe9s,2022-06-16 07:11:59,2022-06-16 07:11:59,Klimate,,,https://klimate.co/wp-content/uploads/2021/08/KlimateLogo_small.png,klimate,,,,,,
cl4gop65501018vmoagxjbty5,2022-06-16 07:11:59,2022-06-16 07:11:59,Puro,,,https://assets-global.website-files.com/5ca5b77141698e2cb2fb4408/5fad297ec5022001bf030f90_puroearthlogo.png,puro,,,,,,
